# 
x,y,rho,u,v,P,e_internal
0.3275,0.75,0.699734,0.407755,3.15529e-16,0.606603,1.57468
0.3325,0.75,0.689275,0.42432,3.19839e-16,0.593948,1.54692
0.3375,0.75,0.678937,0.440895,3.02259e-16,0.581513,1.51977
0.3425,0.75,0.668717,0.457479,2.76717e-16,0.569295,1.49321
0.3475,0.75,0.658616,0.474072,2.57024e-16,0.557292,1.46724
0.3525,0.75,0.648632,0.490672,2.45329e-16,0.545501,1.44183
0.3575,0.75,0.638765,0.507281,2.19187e-16,0.533918,1.41698
0.3625,0.75,0.629014,0.523897,1.96616e-16,0.522542,1.39268
0.3675,0.75,0.619378,0.54052,1.92668e-16,0.51137,1.3689
0.3725,0.75,0.609857,0.557151,2.0494e-16,0.500398,1.34565
0.3775,0.75,0.600449,0.573788,2.14317e-16,0.489624,1.3229
0.3825,0.75,0.591154,0.590432,2.31202e-16,0.479046,1.30066
0.3875,0.75,0.581972,0.607082,2.45184e-16,0.46866,1.27889
0.3925,0.75,0.5729,0.623738,2.6697e-16,0.458464,1.2576
0.3975,0.75,0.563938,0.640401,2.87218e-16,0.448455,1.23678
0.4025,0.75,0.555086,0.657069,2.80936e-16,0.438631,1.2164
0.4075,0.75,0.546343,0.673742,2.60645e-16,0.428988,1.19647
0.4125,0.75,0.537708,0.690421,2.43385e-16,0.419525,1.17697
0.4175,0.75,0.529179,0.707105,2.33632e-16,0.410239,1.15789
0.4225,0.75,0.520756,0.723796,2.11462e-16,0.401126,1.13922
0.4275,0.75,0.512437,0.740493,1.79624e-16,0.392183,1.12095
0.4325,0.75,0.504221,0.757198,1.45359e-16,0.383408,1.10307
0.4375,0.75,0.496106,0.773913,1.27225e-16,0.374797,1.08556
0.4425,0.75,0.488093,0.790633,1.54979e-16,0.366349,1.06843
0.4475,0.75,0.480185,0.807351,1.87317e-16,0.358066,1.05166
0.4525,0.75,0.472386,0.824056,1.82586e-16,0.34995,1.03527
0.4575,0.75,0.464698,0.840741,1.81255e-16,0.342002,1.01924
0.4625,0.75,0.457112,0.857421,1.64135e-16,0.334211,1.00356
0.4675,0.75,0.449594,0.874172,1.55029e-16,0.326541,0.988138
0.4725,0.75,0.442071,0.891162,1.54388e-16,0.318917,0.972831
0.4775,0.75,0.43448,0.908541,1.12032e-16,0.311275,0.957508
0.4825,0.75,0.427024,0.925852,7.40562e-17,0.303824,0.942582
0.4875,0.75,0.420778,0.940539,4.23431e-17,0.297621,0.930167
0.4925,0.75,0.419459,0.943673,4.57902e-17,0.296309,0.92754
0.4975,0.75,0.422889,0.935857,1.05497e-16,0.29971,0.934463
0.5025,0.75,0.425705,0.928343,-1.05108e-17,0.302503,0.939697
0.5075,0.75,0.425912,0.928057,4.56709e-17,0.302717,0.940208
0.5125,0.75,0.425755,0.928699,1.97544e-16,0.302559,0.94
0.5175,0.75,0.425837,0.928737,2.0826e-16,0.302637,0.940245
0.5225,0.75,0.426056,0.928516,6.86611e-17,0.302852,0.94079
0.5275,0.75,0.426265,0.92825,-4.77831e-17,0.303059,0.941294
0.5325,0.75,0.426387,0.928036,-4.32288e-17,0.303183,0.941571
0.5375,0.75,0.42643,0.927868,2.54141e-17,0.303231,0.941642
0.5425,0.75,0.426429,0.927749,1.26496e-16,0.303231,0.941596
0.5475,0.75,0.426417,0.927679,1.72615e-16,0.303215,0.941523
0.5525,0.75,0.426402,0.927655,1.71647e-16,0.303194,0.941453
0.5575,0.75,0.426385,0.927651,1.83966e-16,0.303172,0.94139
0.5625,0.75,0.426363,0.927651,2.23237e-16,0.303149,0.941323
0.5675,0.75,0.426336,0.927638,2.83898e-16,0.303126,0.941248
0.5725,0.75,0.426306,0.927606,3.14201e-16,0.303098,0.941154
0.5775,0.75,0.426272,0.927542,3.1751e-16,0.303063,0.941026
0.5825,0.75,0.426234,0.92745,2.69193e-16,0.303019,0.940863
0.5875,0.75,0.426196,0.927349,2.50237e-16,0.302974,0.940694
0.5925,0.75,0.426169,0.927272,2.5062e-16,0.302942,0.940572
0.5975,0.75,0.426156,0.927245,2.34033e-16,0.302935,0.940538
0.6025,0.75,0.426159,0.92727,2.24115e-16,0.302953,0.940594
0.6075,0.75,0.426178,0.927324,2.44068e-16,0.302987,0.94071
0.6125,0.75,0.426214,0.927384,2.91645e-16,0.303026,0.940847
0.6175,0.75,0.426266,0.927432,2.81266e-16,0.303062,0.940976
0.6225,0.75,0.426318,0.927465,2.30761e-16,0.30309,0.941083
0.6275,0.75,0.426354,0.927483,2.36866e-16,0.303111,0.941157
0.6325,0.75,0.42637,0.927489,1.81722e-16,0.303123,0.941197
0.6375,0.75,0.426376,0.927485,1.10151e-16,0.303128,0.941211
0.6425,0.75,0.426384,0.927477,1.16341e-16,0.303128,0.941212
0.6475,0.75,0.426383,0.92747,1.54288e-16,0.303127,0.941206
0.6525,0.75,0.426348,0.927467,1.46759e-16,0.303126,0.941186
0.6575,0.75,0.426284,0.927467,9.44234e-17,0.303125,0.941156
0.6625,0.75,0.426249,0.927467,5.0051e-17,0.303124,0.941139
0.6675,0.75,0.426312,0.927468,4.6104e-17,0.303124,0.941166
0.6725,0.75,0.426465,0.92747,7.16909e-17,0.303125,0.941234
0.6775,0.75,0.426567,0.927473,1.53362e-16,0.303127,0.941285
0.6825,0.75,0.426432,0.927477,2.43076e-16,0.303131,0.941238
